energy_function,model_name,energy,time,num_cg_modes,lr,lr_cg,clamp_grads,patience,min_delta,cg_patience,cg_min_delta,cg_steps,cg_time,cg_energy,hidden_dims,x0_std,num_nodes
Energy_Bond_LJ,CG_Bond_LJ0.33_n400_d3,-0.0018474053358659148,23.12752413749695,,0.01,0.01,0.1,40,1e-06,40.0,9.999999999999999e-06,733.0,14.149874210357666,0.0013049880508333445,,1.8718467950820923,400
Energy_Bond_LJ,Bond_LJ_n400_d3,-0.02317742258310318,17.277268886566162,,0.01,,0.1,40,1e-06,,,,,,,1.8718467950820923,400
Energy_Bond_LJ,GNN_Bond_LJ0.33_n400_d3,-0.023239735513925552,25.281716346740723,133.0,0.01,0.001,0.1,40,1e-06,40.0,9.999999999999999e-06,771.0,19.011480808258057,-0.02313217706978321,"[32, 16, 3]",1.8718467950820923,400
Energy_Bond_LJ,CG_Bond_LJ0.33_n400_d3,-0.0018419388215988874,26.94479250907898,,0.01,0.01,0.1,40,1e-06,40.0,9.999999999999999e-06,938.0,18.050413370132446,0.0024373133201152086,,1.8718467950820923,400
Energy_Bond_LJ,Bond_LJ_n400_d3,-0.02321891486644745,20.05387306213379,,0.01,,0.1,40,1e-06,,,,,,,1.8718467950820923,400
Energy_Bond_LJ,GNN_Bond_LJ0.33_n400_d3,-0.02297832816839218,27.604689121246338,133.0,0.01,0.001,0.1,40,1e-06,40.0,9.999999999999999e-06,774.0,18.668471336364746,-0.022864747792482376,"[32, 16, 3]",1.8718467950820923,400
Energy_Bond_LJ,CG_Bond_LJ0.33_n400_d3,-0.0018457769183441997,29.360413074493408,,0.01,0.01,0.1,40,1e-06,40.0,9.999999999999999e-06,777.0,14.950867414474487,0.001180637045763433,,1.8718467950820923,400
Energy_Bond_LJ,Bond_LJ_n400_d3,-0.023235920816659927,22.986549139022827,,0.01,,0.1,40,1e-06,,,,,,,1.8718467950820923,400
Energy_Bond_LJ,GNN_Bond_LJ0.33_n400_d3,-0.02323278971016407,25.357109785079956,133.0,0.01,0.001,0.1,40,1e-06,40.0,9.999999999999999e-06,785.0,19.159664392471313,-0.023152995854616165,"[32, 16, 3]",1.8718467950820923,400
Energy_Bond_LJ,CG_Bond_LJ0.33_n400_d3,-0.0018581226468086243,29.484695196151733,,0.01,0.01,0.1,40,1e-06,40.0,9.999999999999999e-06,919.0,17.572000980377197,0.0003189957933500409,,1.8718467950820923,400
Energy_Bond_LJ,Bond_LJ_n400_d3,-0.023261895403265953,28.372657775878906,,0.01,,0.1,40,1e-06,,,,,,,1.8718467950820923,400
Energy_Bond_LJ,GNN_Bond_LJ0.33_n400_d3,-0.023137029260396957,19.577811002731323,133.0,0.01,0.001,0.1,40,1e-06,40.0,9.999999999999999e-06,775.0,18.856018781661987,-0.02311759814620018,"[32, 16, 3]",1.8718467950820923,400
Energy_Bond_LJ,CG_Bond_LJ0.33_n400_d3,-0.0018466577166691422,29.423877239227295,,0.01,0.01,0.1,40,1e-06,40.0,9.999999999999999e-06,1191.0,23.045095443725586,-0.0009240553481504321,,1.8718467950820923,400
Energy_Bond_LJ,Bond_LJ_n400_d3,-0.023189082741737366,19.953246355056763,,0.01,,0.1,40,1e-06,,,,,,,1.8718467950820923,400
Energy_Bond_LJ,GNN_Bond_LJ0.25_n400_d3,-0.023207329213619232,28.555870294570923,100.0,0.01,0.001,0.1,40,1e-06,40.0,9.999999999999999e-06,927.0,22.3529109954834,-0.023064518347382545,"[8, 4, 3]",1.8718467950820923,400
Energy_Bond_LJ,CG_Bond_LJ0.25_n400_d3,-0.0018259154167026281,28.881882667541504,,0.01,0.01,0.1,40,1e-06,40.0,9.999999999999999e-06,882.0,16.940091848373413,0.0009052762761712074,,1.8718467950820923,400
Energy_Bond_LJ,Bond_LJ_n400_d3,-0.02324092388153076,22.81354832649231,,0.01,,0.1,40,1e-06,,,,,,,1.8718467950820923,400
Energy_Bond_LJ,GNN_Bond_LJ0.25_n400_d3,-0.001724662957713008,30.20545530319214,100.0,0.01,0.001,0.1,40,1e-06,40.0,9.999999999999999e-06,1085.0,26.718015432357788,-0.0015553922858089209,"[8, 4, 3]",1.8718467950820923,400
Energy_Bond_LJ,CG_Bond_LJ0.25_n400_d3,-0.0018625123193487525,23.27028727531433,,0.01,0.01,0.1,40,1e-06,40.0,9.999999999999999e-06,740.0,14.364826440811157,0.0022017976734787226,,1.8718467950820923,400
Energy_Bond_LJ,Bond_LJ_n400_d3,-0.02324201725423336,22.986571788787842,,0.01,,0.1,40,1e-06,,,,,,,1.8718467950820923,400
